n_homologs,mode,p,K,n_proteins,mean_drafter_accuracy,mean_mean_k,median_mean_k,mean_acceptance_rate
16,static,,12,118,0.9192,8.959,9.2872,0.6807
16,static,,16,118,0.9192,10.8058,11.2065,0.6333
32,prefix,1,1,118,0.9476,1.942,1.9619,0.9447
32,prefix,1,2,118,0.9476,2.8333,2.8859,0.9218
32,prefix,1,4,118,0.9476,4.4879,4.6335,0.8798
32,prefix,1,8,118,0.9476,7.3753,7.6909,0.8088
32,prefix,1,12,118,0.9476,9.8676,10.3096,0.757
32,prefix,1,16,118,0.9476,12.0519,12.6686,0.7131
32,prefix,12,1,118,0.9596,1.9526,1.9735,0.9557
32,prefix,12,2,118,0.9596,2.8638,2.9036,0.9371
32,prefix,12,4,118,0.9596,4.5785,4.7069,0.9034
32,prefix,12,8,118,0.9596,7.6958,7.9722,0.8494
32,prefix,12,12,118,0.9596,10.4373,10.9245,0.8055
32,prefix,12,16,118,0.9596,12.9279,13.555,0.768
32,prefix,16,1,118,0.9604,1.9531,1.9737,0.9564
32,prefix,16,2,118,0.9604,2.8634,2.9036,0.9369
32,prefix,16,4,118,0.9604,4.5868,4.7218,0.9055
32,prefix,16,8,118,0.9604,7.7077,8.0234,0.8515
32,prefix,16,12,118,0.9604,10.4682,10.8937,0.8087
32,prefix,16,16,118,0.9604,12.9836,13.6878,0.7726
32,prefix,2,1,118,0.9536,1.9468,1.9647,0.9499
32,prefix,2,2,118,0.9536,2.8481,2.8899,0.9292
32,prefix,2,4,118,0.9536,4.5374,4.6613,0.8922
32,prefix,2,8,118,0.9536,7.5348,7.7735,0.8288
32,prefix,2,12,118,0.9536,10.1046,10.5722,0.7774
32,prefix,2,16,118,0.9536,12.4237,12.8563,0.7367
32,prefix,4,1,118,0.9563,1.9499,1.9685,0.9532
32,prefix,4,2,118,0.9563,2.8559,2.9034,0.9328
32,prefix,4,4,118,0.9563,4.5581,4.6726,0.8977
32,prefix,4,8,118,0.9563,7.5971,7.7978,0.8374
32,prefix,4,12,118,0.9563,10.2995,10.8125,0.7936
32,prefix,4,16,118,0.9563,12.6661,13.0159,0.7517
32,prefix,8,1,118,0.9587,1.9518,1.9693,0.955
32,prefix,8,2,118,0.9587,2.8615,2.9052,0.9357
32,prefix,8,4,118,0.9587,4.5731,4.7028,0.9015
32,prefix,8,8,118,0.9587,7.6503,7.8418,0.8436
32,prefix,8,12,118,0.9587,10.3961,10.8709,0.8019
32,prefix,8,16,118,0.9587,12.8257,13.2996,0.7615
32,static,,1,118,0.9119,1.8912,1.9449,0.8942
32,static,,2,118,0.9119,2.7076,2.8394,0.8583
32,static,,4,118,0.9119,4.1702,4.4566,0.7996
32,static,,8,118,0.9119,6.6371,7.06,0.7165
32,static,,12,118,0.9119,8.7048,9.2129,0.6579
32,static,,16,118,0.9119,10.4402,10.5655,0.6107
64,prefix,1,1,118,0.9441,1.9384,1.9548,0.9418
64,prefix,1,2,118,0.9441,2.8219,2.878,0.9158
64,prefix,1,4,118,0.9441,4.447,4.5941,0.8707
64,prefix,1,8,118,0.9441,7.2553,7.5305,0.7946
64,prefix,1,12,118,0.9441,9.7029,10.0625,0.7445
64,prefix,1,16,118,0.9441,11.7828,12.1317,0.6971
64,prefix,12,1,118,0.9572,1.951,1.9705,0.9551
64,prefix,12,2,118,0.9572,2.8582,2.8978,0.9339
64,prefix,12,4,118,0.9572,4.5639,4.6637,0.9005
64,prefix,12,8,118,0.9572,7.6245,7.8834,0.8412
64,prefix,12,12,118,0.9572,10.3545,10.7322,0.7979
64,prefix,12,16,118,0.9572,12.7962,13.1315,0.7604
64,prefix,16,1,118,0.9582,1.9515,1.9693,0.9554
64,prefix,16,2,118,0.9582,2.8599,2.8993,0.9347
64,prefix,16,4,118,0.9582,4.5754,4.6911,0.9032
64,prefix,16,8,118,0.9582,7.6516,7.9053,0.8449
64,prefix,16,12,118,0.9582,10.3939,10.7857,0.8018
64,prefix,16,16,118,0.9582,12.8477,13.3075,0.7643
64,prefix,2,1,118,0.9499,1.9444,1.9604,0.9481
64,prefix,2,2,118,0.9499,2.8388,2.8864,0.9236
64,prefix,2,4,118,0.9499,4.499,4.6238,0.8831
64,prefix,2,8,118,0.9499,7.4187,7.6434,0.8144
64,prefix,2,12,118,0.9499,9.9507,10.3049,0.7644
64,prefix,2,16,118,0.9499,12.1197,12.4959,0.7181
64,prefix,4,1,118,0.9538,1.949,1.967,0.9527
64,prefix,4,2,118,0.9538,2.8478,2.8993,0.9283
64,prefix,4,4,118,0.9538,4.5356,4.6332,0.8925
64,prefix,4,8,118,0.9538,7.5422,7.7642,0.8305
64,prefix,4,12,118,0.9538,10.195,10.5305,0.7854
64,prefix,4,16,118,0.9538,12.5117,12.7508,0.7416
64,prefix,8,1,118,0.9562,1.9502,1.9676,0.9542
64,prefix,8,2,118,0.9562,2.8554,2.9,0.9327
64,prefix,8,4,118,0.9562,4.5582,4.6465,0.8981
64,prefix,8,8,118,0.9562,7.6029,7.8,0.8379
64,prefix,8,12,118,0.9562,10.3165,10.6086,0.7946
64,prefix,8,16,118,0.9562,12.7087,12.9268,0.7538
64,static,,1,118,0.9041,1.8809,1.9331,0.8848
64,static,,2,118,0.9041,2.6794,2.811,0.8438
64,static,,4,118,0.9041,4.0875,4.3663,0.7796
64,static,,8,118,0.9041,6.4385,6.8903,0.6913
64,static,,12,118,0.9041,8.3596,8.7083,0.6295
64,static,,16,118,0.9041,10.0174,10.3935,0.5837
